CustomerID,Name,Gender,Age,City,MonthlyIncome,SignupDate,LastPurchaseDate,ProductsPurchased,SpendingScore,PreferredChannel,CustomerSatisfaction,Churn
26,Jennifer Brown,Female,30,Abuja,149724,26/01/2024,07/10/2024,14,69,Online,2.8,0
27,Julie King,Male,22,Lagos,282328,04/01/2025,19/06/2027,21,71,Mobile App,4.5,0
28,Alexandra Le,Female,33,Ibadan,137194,28/09/2025,09/11/2027,7,53,Store,4.7,0
29,Nicole Mack,Female,18,Port Harcourt,254693,16/04/2026,10/05/2027,14,34,Mobile App,4.9,1
30,Jeffrey Chavez,Male,30,Kano,205560,01/11/2024,09/04/2025,24,28,Mobile App,2.2,1
31,Pamela Romero,Male,21,Lagos,356277,05/07/2024,02/09/2024,17,62,Online,4.6,0
32,Elizabeth Fowler,Female,22,Lagos,404005,04/11/2023,06/07/2025,19,31,Online,3.7,0
33,James Martin,Female,23,Port Harcourt,269794,24/12/2025,20/09/2027,7,85,Mobile App,4.1,0
34,Linda Burns,Female,43,Ibadan,118617,23/08/2025,22/05/2026,11,86,Online,2,0
35,Sherry Decker,Female,52,Abuja,161754,12/11/2023,27/01/2024,12,65,Online,4.6,1
36,David Bradley,Female,28,Kano,279734,11/09/2024,30/06/2025,21,70,Mobile App,2,1
37,John Jones,Male,24,Lagos,120407,22/09/2023,02/08/2025,24,34,Mobile App,2.5,1
38,Betty Alvarez,Male,31,Port Harcourt,426235,27/08/2025,09/05/2027,17,44,Store,2.8,0
39,Joseph Obrien,Male,58,Lagos,272075,23/09/2025,27/12/2025,11,36,Online,3.9,1
40,Nicole Vaughn,Female,46,Kano,339239,16/04/2024,29/09/2024,1,91,Online,2.2,0
41,Michael Brooks,Male,20,Ibadan,487568,18/09/2024,31/03/2026,5,48,Online,2.9,0
42,David Brown,Male,31,Port Harcourt,407599,04/08/2025,06/08/2026,25,32,Mobile App,4.7,1
43,Crystal Robinson,Male,27,Ibadan,174118,24/06/2023,21/03/2025,1,21,Online,4.2,1
44,Amy Jones,Male,44,Port Harcourt,470602,10/09/2023,20/11/2025,6,86,Mobile App,2.3,0
45,Andrea Young,Female,48,Port Harcourt,166619,10/07/2023,06/12/2025,10,26,Online,2.7,0
46,Mr. Nathaniel Khan,Female,39,Port Harcourt,196068,27/03/2026,10/05/2027,21,9,Mobile App,3.2,1
47,Richard Aguirre,Female,25,Lagos,186951,03/11/2025,02/12/2025,4,23,Mobile App,3.3,1
48,Matthew Gomez,Female,56,Kano,318132,13/03/2024,03/06/2025,7,15,Store,2.1,1
49,Nicholas Nunez,Male,51,Port Harcourt,472843,19/02/2025,21/02/2025,14,69,Online,4.8,1
50,James Morgan,Female,38,Kano,397806,19/02/2026,20/11/2027,10,16,Mobile App,3.2,1
51,Connor West,Male,36,Ibadan,340671,08/11/2023,22/10/2025,22,17,Store,4,0
52,Joel Baxter,Male,54,Port Harcourt,207784,08/03/2025,29/11/2026,10,52,Online,3.3,1
53,Scott Pierce,Male,46,Kano,281819,17/09/2023,06/01/2025,16,87,Mobile App,2.5,0
54,Kimberly Smith,Female,50,Lagos,398050,09/08/2023,26/05/2024,25,82,Online,4,0
55,Sarah Martin,Male,30,Abuja,127255,14/10/2023,17/01/2026,16,4,Mobile App,4.5,0
56,Dr. Steven Martin,Male,44,Ibadan,380178,15/06/2025,25/09/2026,16,74,Store,2.7,0
57,Mrs. Rachel Gibson,Male,24,Abuja,458116,26/05/2023,03/07/2025,23,55,Mobile App,3.4,0
58,Monica Logan,Female,25,Kano,289317,10/03/2025,27/07/2027,18,18,Mobile App,3,1
59,Brittney Phillips,Female,50,Abuja,273735,16/03/2026,04/12/2027,24,71,Store,3.4,0
60,Kimberly Adkins,Female,58,Abuja,195391,21/08/2023,29/12/2025,9,99,Store,2.2,1
61,John Calhoun,Male,35,Abuja,226080,19/08/2023,16/04/2024,5,41,Online,3.1,0
62,Tyler Miller,Female,31,Port Harcourt,83674,25/08/2025,19/08/2027,18,54,Store,3.2,0
63,Barry Hensley,Male,44,Kano,254198,06/03/2024,07/07/2026,13,99,Store,2,1
64,Steve Sanchez,Male,42,Ibadan,497452,08/02/2025,11/12/2025,8,54,Store,3.3,0
65,Bradley Sandoval,Female,39,Abuja,400682,01/12/2025,04/01/2027,15,87,Online,4.9,0
66,Taylor Harris,Male,55,Lagos,345903,17/10/2025,25/11/2026,21,85,Store,2.4,1
67,James Powers,Female,21,Abuja,186396,22/09/2024,28/03/2025,15,49,Store,3,1
68,Timothy Walls,Female,44,Lagos,182262,31/08/2024,12/06/2025,24,11,Mobile App,2.2,1
69,Zachary Ferrell,Male,59,Lagos,85975,06/06/2023,22/01/2024,8,100,Online,4.5,0
70,Katie Anderson,Male,26,Kano,298282,13/09/2023,15/05/2024,7,86,Store,4.1,1
71,Sherry Wood,Male,56,Abuja,368372,15/11/2024,06/05/2025,10,96,Online,3.7,1
72,Joshua Turner,Male,42,Lagos,257961,23/01/2024,04/09/2025,19,92,Mobile App,4.5,0
73,Mary Spencer,Male,37,Kano,495798,03/03/2026,16/06/2026,2,88,Store,3.6,1
74,Shawn Baker,Male,50,Ibadan,389499,18/03/2026,28/05/2026,16,44,Online,3.3,1
75,Brittney Campbell,Female,47,Abuja,420833,05/11/2023,17/08/2025,24,20,Mobile App,4.9,1
76,Christina Walters,Female,52,Ibadan,456135,14/04/2024,05/01/2026,24,62,Mobile App,2.8,0
77,Danielle Odonnell,Male,23,Ibadan,196238,06/07/2024,04/11/2026,19,58,Mobile App,4,1
78,Jeff Hill,Male,49,Ibadan,496144,09/08/2023,08/09/2023,7,42,Store,4.4,1
79,Carlos Whitney,Male,56,Kano,417622,28/05/2023,10/03/2024,7,36,Online,2.7,1
80,Kristen Patterson,Female,53,Ibadan,447496,29/01/2024,13/06/2025,15,31,Online,2.3,0
81,Tony Vazquez,Female,33,Ibadan,210540,07/06/2023,26/07/2024,18,85,Mobile App,3,1
82,Sandra Aguilar,Female,47,Abuja,192038,09/01/2024,04/01/2025,4,40,Mobile App,2.6,0
83,Andrew Diaz,Male,52,Abuja,449606,08/01/2024,07/02/2026,7,89,Mobile App,3.5,1
84,Christine Wright,Female,30,Abuja,205318,23/07/2023,03/11/2023,10,30,Online,4.1,0
85,Justin Baxter,Female,20,Abuja,78587,29/10/2023,05/08/2024,21,71,Store,2.3,0
86,Tammy Young,Female,36,Port Harcourt,296099,11/01/2026,22/08/2027,6,62,Online,2.8,1
87,Rita Keith,Male,22,Kano,260086,30/01/2024,26/05/2024,21,63,Mobile App,2.2,0
88,Tim Patton,Male,54,Lagos,209297,30/06/2023,08/10/2025,18,11,Store,3.8,0
89,Sharon Cochran,Female,51,Port Harcourt,249427,20/02/2025,26/04/2027,19,58,Store,2.9,0
90,Michael Reyes,Male,24,Port Harcourt,449893,10/07/2024,27/03/2026,22,27,Online,2.5,0
91,Courtney Velasquez,Female,22,Ibadan,132068,22/07/2023,07/02/2025,23,1,Mobile App,3.4,0
92,Robert Savage,Female,36,Lagos,420648,07/05/2025,31/12/2025,22,37,Online,4.8,0
93,Corey Murphy,Male,25,Port Harcourt,335507,03/05/2024,13/07/2025,5,29,Online,2.2,1
94,Diana May,Male,54,Ibadan,201315,07/09/2023,09/05/2025,23,57,Store,4.1,1
95,Sarah Rivera,Male,52,Kano,308890,01/02/2025,29/06/2026,2,57,Store,4.2,1
96,Wesley White,Male,23,Port Harcourt,170022,04/07/2023,31/07/2023,19,87,Online,4.3,0
97,Kyle Reed,Female,51,Abuja,391578,08/07/2024,02/11/2025,19,57,Store,3.9,1
98,William Wilson,Female,48,Port Harcourt,232431,21/09/2024,24/12/2024,22,53,Online,4.6,1
99,Andrew Graham,Female,49,Kano,201109,03/11/2025,30/12/2026,2,85,Store,2.3,1
100,Kimberly Ball,Male,25,Kano,455037,07/08/2025,05/07/2026,15,52,Store,2.2,1
101,Jeffrey Rush,Male,49,Abuja,377894,29/03/2026,27/12/2027,9,57,Mobile App,2.4,1
102,Mary Martinez,Male,49,Abuja,113662,16/10/2024,08/01/2026,10,4,Mobile App,2,1
103,Mary Nguyen,Female,32,Lagos,491138,31/08/2024,05/12/2024,21,15,Online,3.5,1
104,Cameron Fisher,Female,35,Abuja,267836,10/05/2026,14/10/2027,15,62,Mobile App,2.4,0
105,Stephanie Gilbert,Male,50,Port Harcourt,441272,31/12/2024,06/09/2026,25,18,Store,3,1
106,Roy Torres,Female,18,Kano,198289,01/09/2024,21/12/2026,19,93,Mobile App,3.5,0
107,Kevin Pena,Female,52,Kano,303934,13/04/2024,15/07/2025,25,45,Mobile App,3.1,1
108,Michael Dixon,Female,30,Abuja,415690,14/05/2025,22/10/2027,25,31,Store,2.1,1
109,Diane Beck,Male,42,Ibadan,252416,10/02/2024,02/02/2026,2,85,Online,3.5,1
110,Robert Potter,Male,24,Kano,493044,08/01/2026,17/06/2028,15,57,Online,4.2,1
111,Robert Hernandez,Female,59,Port Harcourt,130929,02/04/2026,10/09/2028,11,10,Mobile App,4.1,0
112,John Atkinson,Female,39,Port Harcourt,496872,02/08/2023,22/12/2025,21,87,Mobile App,4.7,1
113,Stephen Johnston,Male,52,Abuja,68821,13/09/2023,23/02/2026,21,80,Mobile App,4.8,0
114,James Hernandez,Male,23,Ibadan,277526,08/05/2026,11/06/2028,6,13,Mobile App,2.9,0
115,Paul Carrillo,Female,38,Port Harcourt,467408,25/04/2026,12/06/2026,12,8,Store,2.4,1
116,Colleen Brock,Male,29,Kano,139120,04/11/2023,06/06/2025,13,23,Mobile App,4,1
117,Amber Wright,Female,27,Ibadan,171733,08/05/2026,27/12/2027,9,60,Mobile App,2,1
118,Robert Contreras,Female,52,Port Harcourt,132824,27/11/2023,17/09/2024,19,10,Store,3.9,1
119,Tiffany Vance,Male,34,Ibadan,289513,07/10/2025,14/09/2027,16,39,Online,2.7,1
120,Stephanie Simmons,Male,36,Ibadan,416623,29/12/2025,10/08/2027,9,38,Online,3.7,0
121,Christopher Hensley,Male,49,Kano,486647,20/09/2025,03/06/2027,12,37,Online,3.9,1
122,David Walsh,Male,60,Lagos,406964,21/04/2025,17/03/2027,10,18,Store,2.1,1
123,Mr. Jeremiah Reeves,Female,26,Ibadan,97255,09/08/2025,29/08/2027,6,38,Online,2.4,1
124,Francisco Fernandez,Female,50,Ibadan,192882,21/05/2024,16/11/2025,10,22,Mobile App,4.6,0
125,James Hernandez,Male,22,Ibadan,123797,23/12/2023,16/04/2025,18,97,Store,2.3,1
126,Jason Daniels,Female,34,Port Harcourt,331318,19/04/2024,04/05/2024,22,16,Mobile App,4,1
127,Ross Price,Male,58,Ibadan,244759,26/02/2025,19/06/2027,1,14,Mobile App,4.7,1
128,Alicia Gilmore,Female,32,Port Harcourt,389556,15/11/2025,02/08/2027,21,9,Store,2.4,0
129,Aaron Bell,Male,37,Abuja,308277,02/11/2025,11/12/2025,18,15,Online,3.2,1
130,Tiffany Barnes,Male,52,Ibadan,269743,17/01/2025,05/12/2026,21,76,Online,4.5,1
131,Stephanie Freeman,Male,20,Ibadan,411905,17/09/2025,01/07/2026,15,48,Online,4.6,0
132,Allen Rogers,Female,41,Lagos,335456,19/07/2024,22/06/2026,13,83,Store,2.6,0
133,Misty Pittman,Male,47,Kano,98063,12/04/2026,28/08/2028,1,85,Online,4.4,0
134,Ms. Susan Vargas,Male,54,Kano,157586,07/12/2023,14/04/2024,7,9,Online,3,0
135,Marvin Taylor,Male,56,Abuja,51486,17/03/2026,02/06/2028,18,36,Store,4.4,0
136,David Murphy,Female,19,Abuja,119102,09/05/2025,17/03/2027,19,2,Store,2,1
137,Philip Gray,Male,26,Lagos,438873,28/04/2025,21/06/2025,16,54,Store,4.3,0
138,Bradley Smith,Male,50,Kano,166155,07/03/2025,13/06/2026,10,79,Store,3.9,0
139,Trevor Walker,Female,48,Lagos,494228,06/09/2025,08/11/2025,16,52,Mobile App,4.7,0
140,Marissa Webster,Male,38,Abuja,368923,06/09/2023,28/11/2023,9,19,Mobile App,3.9,1
141,Alex Hernandez,Female,56,Kano,328164,10/06/2024,06/07/2025,20,38,Store,2.3,0
142,Brian Gould,Male,59,Ibadan,391267,05/12/2023,27/04/2026,15,99,Online,3.2,1
143,Pamela Jackson,Female,44,Ibadan,432527,14/05/2025,27/06/2026,11,13,Mobile App,2.8,0
144,Michelle Strickland,Male,48,Lagos,85197,21/12/2025,25/11/2027,14,12,Online,4.2,1
145,Ashley Johnson,Female,26,Lagos,341698,01/02/2024,13/05/2026,14,8,Store,4.6,1
146,Susan Brooks,Female,21,Port Harcourt,200800,18/09/2024,24/02/2027,4,77,Mobile App,3.5,0
147,Michael Burton,Female,48,Kano,167568,26/03/2024,28/01/2026,12,14,Online,4.3,0
148,Elizabeth Sutton,Male,45,Kano,493104,28/10/2023,01/02/2026,22,72,Mobile App,2.8,0
149,Kylie Williams,Male,37,Abuja,228165,27/11/2023,02/09/2024,5,45,Mobile App,4,0
150,Jacob Hunter,Male,58,Ibadan,66073,27/08/2025,20/01/2026,14,12,Store,3,1
151,Jason Henry,Male,38,Lagos,457285,03/11/2024,19/09/2025,5,73,Online,4.3,0
152,Madison Poole,Female,23,Ibadan,192660,26/03/2025,15/02/2027,20,57,Store,3.2,0
153,Nicholas Sheppard,Female,50,Lagos,109673,15/01/2024,27/02/2026,10,45,Mobile App,4,1
154,Tamara Hampton,Male,60,Ibadan,211700,15/07/2024,06/01/2026,20,6,Online,2,1
155,Nicholas Adams,Female,26,Port Harcourt,450640,14/05/2025,17/12/2025,4,33,Online,3.5,1
156,Angelica Keith,Male,26,Kano,249338,07/06/2024,04/12/2024,18,69,Mobile App,4.4,0
157,Laura Barnett,Female,20,Lagos,278704,04/06/2024,16/07/2025,11,3,Mobile App,3.3,1
158,Samuel White,Male,58,Ibadan,268991,26/10/2024,23/10/2026,1,38,Store,2.5,1
159,David Ramirez,Male,41,Abuja,96205,16/04/2024,16/08/2026,14,56,Mobile App,3.2,0
160,Desiree Smith,Male,37,Port Harcourt,441016,04/12/2025,14/01/2027,25,44,Online,2.2,0
161,Nathan Freeman,Female,50,Port Harcourt,151661,14/03/2024,09/09/2025,24,100,Mobile App,4.4,0
162,Maria Henry,Male,27,Kano,184201,30/05/2024,13/09/2024,5,26,Mobile App,2.2,1
163,Daniel Holt,Female,54,Kano,448394,18/06/2023,06/10/2024,21,75,Mobile App,5,1
164,Jackie Tran,Female,58,Lagos,215747,09/09/2024,11/02/2027,16,20,Store,3.9,1
165,Patrick Rivera,Male,21,Port Harcourt,234519,07/11/2024,06/07/2026,15,65,Store,2.1,1
166,Eric Hall,Male,36,Kano,90229,18/05/2026,16/09/2028,20,83,Mobile App,3.2,0
167,Patrick Tapia,Female,54,Kano,391750,17/03/2024,21/06/2025,16,25,Mobile App,2.5,0
168,Daniel Washington,Male,24,Kano,475180,29/04/2026,04/08/2027,21,44,Online,2.1,1
169,Kelly Campbell,Male,51,Port Harcourt,324070,23/11/2025,16/02/2027,12,79,Store,3.2,1
170,Elizabeth Ward,Female,56,Lagos,77454,26/10/2023,21/09/2025,11,81,Online,3.7,1
171,Joseph Hill,Male,34,Port Harcourt,429444,03/09/2024,21/06/2025,3,85,Mobile App,4,1
172,Melissa Martinez,Female,59,Abuja,416204,15/08/2023,28/06/2024,20,85,Mobile App,4.8,1
173,Adam Mitchell,Male,42,Kano,387375,23/06/2025,17/01/2027,3,43,Mobile App,4,1
174,Cody Williams,Male,41,Port Harcourt,211934,04/06/2025,23/06/2025,25,24,Store,2.6,0
175,Austin Vasquez,Male,22,Port Harcourt,205080,03/06/2025,09/11/2025,25,13,Mobile App,2.4,1
176,Amy Hernandez,Male,28,Ibadan,144815,04/11/2025,11/04/2026,2,89,Store,3.1,0
177,Angela Wright,Female,57,Abuja,199384,13/10/2025,11/01/2027,18,97,Online,2.9,1
178,Lisa Gibbs,Female,30,Ibadan,242854,05/10/2025,08/02/2028,25,87,Store,4.3,1
179,Jamie Kerr,Male,30,Port Harcourt,470090,07/05/2024,20/10/2024,2,78,Mobile App,3.4,1
180,Wanda Torres,Male,24,Port Harcourt,422978,26/08/2024,17/03/2026,3,67,Online,2.8,0
181,Tyler Garcia,Female,45,Port Harcourt,98084,11/01/2026,11/05/2028,1,29,Store,2.2,1
182,Deborah Miller,Male,42,Lagos,92784,09/04/2024,07/12/2024,11,48,Online,4.5,1
183,Benjamin Smith,Female,27,Ibadan,122141,29/05/2024,18/08/2026,23,5,Online,4.3,1
184,Julie Johnson,Male,57,Port Harcourt,52753,21/04/2025,25/07/2026,7,11,Online,3.6,1
185,Michele Gibson,Male,36,Lagos,174591,12/08/2024,04/12/2024,8,39,Store,3.9,1
186,Dennis Moody,Male,25,Kano,488665,24/04/2026,28/06/2026,19,64,Online,4.2,1
187,Taylor Coleman,Male,18,Kano,372337,24/11/2025,07/02/2027,14,46,Online,4,0
188,Chase Baker,Male,41,Ibadan,85483,14/09/2025,05/03/2027,16,68,Online,3.9,1
189,Christopher Parker,Female,19,Abuja,237220,29/12/2023,14/09/2024,24,9,Mobile App,3.9,1
190,Jessica Harrison,Female,20,Abuja,234706,23/10/2025,09/03/2026,25,70,Mobile App,3.4,1
191,Terri Mason,Male,29,Ibadan,475458,06/09/2024,15/06/2026,2,18,Store,2.6,0
192,Kyle Preston,Female,38,Kano,212569,28/06/2025,10/08/2025,16,66,Store,2.1,0
193,Allison Perez,Female,40,Port Harcourt,459385,04/10/2024,24/07/2025,4,7,Store,3.3,1
194,Laura Sampson,Male,46,Ibadan,252713,04/04/2026,05/05/2028,23,44,Store,3.1,1
195,Laura Hines,Male,23,Ibadan,431200,01/04/2026,30/06/2028,20,55,Online,3.6,1
196,Matthew Moon,Female,23,Port Harcourt,221924,19/02/2024,04/06/2024,15,85,Mobile App,4.2,0
197,Jessica Olsen DVM,Male,46,Port Harcourt,234311,28/02/2024,04/02/2026,20,58,Store,2.8,0
198,Gary Santiago,Female,60,Kano,384240,22/05/2025,07/08/2025,24,52,Mobile App,2.5,0
199,Michael Roberts,Male,56,Abuja,405513,27/01/2024,22/06/2024,3,57,Online,4.3,1
200,Krista Gibson,Male,42,Ibadan,347399,03/02/2025,09/02/2026,12,5,Store,3.3,0
201,Brian Barton,Female,26,Port Harcourt,327589,22/09/2024,03/05/2026,21,47,Store,2.7,0
202,April Booth,Female,29,Kano,311642,30/07/2025,26/08/2025,4,67,Store,4.3,1
203,Cody Cox,Female,57,Abuja,199724,09/05/2025,15/12/2025,4,89,Online,4.6,1
204,Olivia Harris,Female,46,Port Harcourt,96027,05/07/2025,29/12/2025,23,88,Online,3.6,1
205,Dwayne Gilmore,Male,28,Port Harcourt,423192,22/09/2025,27/07/2026,17,91,Online,2.4,0
206,William Lynch,Male,26,Port Harcourt,174117,13/06/2025,03/09/2027,18,64,Mobile App,3.1,0
207,Emily Smith,Female,23,Ibadan,84470,28/05/2024,14/02/2026,17,40,Store,4.3,0
208,Willie Durham,Female,38,Ibadan,386770,14/02/2025,23/06/2025,22,10,Mobile App,3,0
209,Maria Moore,Male,26,Lagos,276816,08/05/2025,04/07/2027,17,65,Online,2.9,0
210,Denise Davenport,Female,32,Lagos,231415,18/08/2024,15/07/2025,9,67,Online,3.9,1
211,Juan Reyes,Male,58,Kano,208767,25/05/2025,01/10/2025,21,79,Online,3.8,0
212,Sherry Shields,Female,60,Kano,377406,09/12/2025,03/06/2026,2,93,Online,2.2,1
213,Sarah Morgan,Female,31,Kano,452107,25/07/2024,23/05/2026,21,74,Online,3.5,1
214,Aaron Barber,Female,37,Port Harcourt,303202,19/07/2025,08/05/2027,15,32,Online,4.1,0
215,Mary Grimes,Male,44,Port Harcourt,303887,19/11/2025,13/02/2027,20,60,Online,2.9,1
216,Haley Arnold,Female,40,Kano,259042,15/04/2025,07/05/2027,18,17,Online,3,1
217,Timothy Kane,Male,35,Lagos,285717,13/09/2025,17/01/2026,2,32,Store,4.8,1
218,James Chase,Female,28,Abuja,476496,10/05/2026,20/01/2027,25,42,Online,3.5,1
219,Patrick Thornton,Male,37,Ibadan,310765,19/02/2025,15/07/2026,17,3,Store,4.9,0
220,Matthew Hoover,Female,40,Ibadan,75510,04/01/2025,25/08/2026,20,7,Mobile App,4,1
221,Andrew Shaw MD,Female,18,Abuja,494162,14/01/2024,17/07/2025,9,14,Mobile App,3.1,1
222,Jessica Fox,Male,20,Port Harcourt,260020,25/10/2023,03/11/2024,18,7,Store,2.2,1
223,Charles Pitts,Male,53,Abuja,196654,01/05/2025,23/06/2027,4,80,Store,3.1,1
224,Richard Baker,Male,41,Kano,445819,17/01/2024,11/08/2025,17,19,Store,3.5,0
225,Marie Christian,Female,26,Kano,424127,15/01/2026,24/02/2026,15,43,Online,3.8,0
226,Jamie Stewart,Female,57,Kano,217001,04/04/2026,06/03/2027,24,21,Store,3.8,1
227,Amanda Jones,Male,54,Port Harcourt,207176,19/06/2025,15/06/2027,11,61,Mobile App,2.3,1
228,Donna Perez,Male,37,Kano,467728,27/01/2026,17/09/2027,16,93,Store,4.9,0
229,Brett Schultz,Male,21,Kano,355934,10/10/2023,18/10/2025,21,62,Mobile App,3.9,1
230,Michael Berger,Male,33,Abuja,66552,26/10/2023,26/03/2024,1,74,Store,2.9,0
231,Anthony Howard,Female,31,Lagos,265155,02/08/2023,28/09/2024,23,65,Online,3.6,1
232,Joseph Knight,Female,48,Abuja,325501,22/03/2025,30/01/2027,15,49,Mobile App,3,1
233,Bob Pitts,Female,59,Kano,471345,26/02/2024,19/01/2026,16,89,Online,4.9,1
234,Kathleen Aguilar,Female,37,Abuja,167895,09/01/2026,04/08/2027,23,39,Mobile App,3.5,1
235,David Scott,Female,53,Port Harcourt,467021,17/05/2024,10/05/2025,4,93,Mobile App,4,1
236,Julie Roberts,Female,40,Lagos,455308,06/06/2023,15/07/2024,10,19,Mobile App,2.2,1
237,Jeremy Reed,Male,34,Abuja,441820,18/09/2025,22/07/2027,18,62,Store,4.8,1
238,Victor Vaughn,Male,24,Abuja,372792,20/11/2025,10/04/2026,2,95,Mobile App,4.7,0
239,Christina Cruz,Female,32,Port Harcourt,77520,01/05/2025,14/02/2027,23,13,Store,2.3,0
240,James Howard,Female,53,Ibadan,132806,11/06/2025,17/06/2025,21,53,Online,4.3,1
241,Elizabeth Spence DDS,Male,36,Kano,388636,24/08/2024,19/07/2025,8,8,Mobile App,4.2,0
242,Sean Osborne,Male,44,Ibadan,489146,22/07/2024,18/01/2025,16,23,Online,4.8,1
243,Natasha Wall,Male,20,Port Harcourt,54858,07/08/2023,21/01/2026,10,39,Store,5,1
244,Crystal Pham,Male,50,Lagos,295377,09/08/2024,25/12/2024,11,35,Online,4.2,1
245,Lisa Byrd,Female,29,Port Harcourt,57384,27/04/2024,03/05/2026,19,95,Mobile App,4.3,0
246,Breanna Davis,Female,58,Lagos,262593,12/03/2026,28/11/2027,13,55,Mobile App,2.3,0
247,Ellen Alexander,Female,38,Ibadan,180048,21/01/2026,25/05/2027,8,1,Store,4.3,1
248,Carlos Browning,Male,55,Port Harcourt,428998,08/11/2025,14/09/2026,21,74,Store,4.1,0
249,Casey Anderson,Male,25,Ibadan,294001,11/10/2024,26/08/2026,22,40,Mobile App,4.8,1
250,Holly Shaw,Female,25,Kano,384868,06/09/2025,14/08/2027,8,38,Online,4.9,1
251,Dawn Summers,Female,47,Ibadan,442028,19/07/2024,23/12/2024,23,78,Mobile App,4.7,0
252,Elizabeth Harrell,Male,33,Kano,406695,09/06/2025,30/07/2027,15,97,Mobile App,4.1,0
253,Bernard Webster,Male,25,Kano,82379,17/11/2023,17/06/2025,18,71,Online,2.5,1
254,Misty Whitney,Female,31,Lagos,425871,07/05/2024,04/09/2024,17,75,Store,4.4,1
255,Richard Smith,Male,50,Kano,267802,04/10/2025,17/02/2026,15,59,Mobile App,4.4,0
256,Jacob Curry,Male,34,Kano,478056,02/09/2025,13/10/2026,3,1,Online,3.3,0
257,Samantha Bentley,Male,21,Port Harcourt,86185,03/07/2024,09/01/2026,14,61,Online,4.3,1
258,Kaitlyn Harvey,Female,42,Lagos,285162,07/11/2023,25/11/2024,22,49,Mobile App,4.6,0
259,Leonard Holland,Female,40,Kano,112197,11/10/2025,12/08/2027,5,23,Mobile App,4.9,0
260,Susan Turner,Female,19,Kano,206428,03/02/2026,19/03/2028,13,60,Online,2.7,1
261,Andrew Johnson,Male,35,Lagos,148818,15/02/2025,24/07/2025,22,93,Store,3.8,0
262,David Medina,Male,31,Ibadan,85279,26/06/2025,28/02/2026,20,13,Mobile App,4.1,0
263,Michael Paul,Male,20,Kano,260902,15/01/2025,23/09/2025,7,57,Online,2.4,1
264,Patrick Moore,Female,54,Abuja,217197,08/09/2025,06/05/2026,10,74,Online,5,0
265,Sandra Gilbert,Male,37,Ibadan,194259,25/02/2025,25/04/2026,18,8,Store,2.1,1
266,Jacob Ramos,Female,60,Ibadan,249834,30/07/2024,20/05/2026,14,68,Online,2.9,0
267,Ariana Jennings,Male,52,Port Harcourt,298260,23/05/2024,05/07/2026,23,31,Online,4.4,0
